;SOC_MWh
419;479.48183159006504
420;479.43388340690603
421;479.38594001856535
422;479.3380014245635
423;479.29006762442106
424;479.2421386176586
425;479.1942144037969
426;479.1462949823565
427;479.09838035285827
428;479.050470514823
429;479.00256546777155
430;478.9546652112248
431;478.90676974470364
432;478.85887906772916
433;478.8109931798224
434;478.7631120805044
435;478.7152357692964
436;478.66736424571945
437;478.6194975092949
438;478.57163555954395
439;478.523778395988
440;478.4759260181484
441;478.42807842554663
442;478.3802356177041
443;478.3323975941423
444;478.2845643543829
445;478.2367358979475
446;478.1889122243577
447;478.14109333313525
448;478.0932792238019
449;478.04546989587953
450;477.99766534888994
451;477.9498655823551
452;477.90207059579683
453;477.85428038873727
454;477.8064949606984
455;477.7587143112023
456;477.7109384397712
457;477.66316734592726
458;477.6154010291927
459;477.5676394890898
460;477.5198827251409
461;477.4721307368684
462;477.4243835237947
463;477.3766410854423
464;477.3289034213338
465;477.2811705309917
466;477.2334424139386
467;477.1857190696972
468;477.13800049779024
469;477.09028669774045
470;477.0425776690707
471;476.9948734113038
472;476.9471739239627
473;476.8994792065703
474;476.8517892586496
475;476.80410407972374
476;476.7564236693158
477;476.70874802694885
478;476.66107715214616
479;476.61341104443096
480;476.5657497033265
481;476.51809312835616
482;476.47044131904335
483;476.42279427491144
484;476.375151995484
485;476.32751448028444
486;476.2798817288364
487;476.2322537406635
488;476.1846305152894
489;476.1370120522379
490;476.0893983510327
491;476.0417894111976
492;475.9941852322565
493;475.94658581373324
494;475.89899115515186
495;475.85140125603635
496;475.80381611591076
497;475.7562357342992
498;475.70866011072576
499;475.6610892447147
500;475.6135231357902
501;475.56596178347667
502;475.5184051872983
503;475.47085334677956
504;475.4233062614449
505;475.3757639308188
506;475.3282263544257
507;475.28069353179023
508;475.23316546243706
509;475.1856421458908
510;475.13812358167627
511;475.0906097693181
512;475.04310070834117
513;474.9955963982703
514;474.9480968386305
515;474.9006020289466
516;474.8531119687437
517;474.80562665754684
518;474.7581460948811
519;474.71067028027164
520;474.6631992132436
521;474.6157328933223
522;474.5682713200329
523;474.5208144929009
524;474.4733624114516
525;474.42591507521047
526;474.378472483703
527;474.3310346364546
528;474.283601532991
529;474.2361731728377
530;474.1887495555204
531;474.14133068056486
532;474.0939165474968
533;474.04650715584205
534;473.9991025051265
535;473.95170259487594
536;473.90430742461643
537;473.856916993874
538;473.8095313021746
539;473.7621503490444
540;473.71477413400953
541;473.66740265659615
542;473.6200359163305
543;473.5726739127389
544;473.52531664534763
545;473.4779641136831
546;473.4306163172717
547;473.38327325563995
548;473.3359349283144
549;473.2886013348215
550;473.24127247468806
551;473.1939483474406
552;473.14662895260585
553;473.0993142897106
554;473.05200435828164
555;473.00469915784583
556;472.95739868793004
557;472.91010294806125
558;472.8628119377664
559;472.8155256565727
560;472.768244104007
561;472.7209672795966
562;472.67369518286864
563;472.62642781335035
564;472.579165170569
565;472.531907254052
566;472.48465406332656
567;472.43740559792025
568;472.39016185736045
569;472.3429228411747
570;472.2956885488906
571;472.2484589800357
572;472.20123413413774
573;472.1540140107243
574;472.1067986093233
575;472.05958792946234
576;472.0123819706694
577;471.96518073247233
578;471.9179842143991
579;471.8707924159777
580;471.8236053367361
581;471.7764229762024
582;471.72924533390477
583;471.68207240937136
584;471.63490420213043
585;471.58774071171024
586;471.54058193763905
587;471.4934278794453
588;471.44627853665736
589;471.3991339088037
590;471.35199399541284
591;471.3048587960133
592;471.2577283101337
593;471.2106025373027
594;471.16348147704895
595;471.11636512890124
596;471.0692534923883
597;471.0221465670391
598;470.9750443523824
599;470.92794684794717
600;470.8808540532624
601;470.83376596785706
602;470.7866825912603
603;470.73960392300114
604;470.69252996260883
605;470.64546070961256
606;470.5983961635416
607;470.5513363239253
608;470.5042811902929
609;470.4572307621739
610;470.41018503909766
611;470.3631440205937
612;470.31610770619164
613;470.26907609542104
614;470.2220491878115
615;470.1750269828927
616;470.1280094801944
617;470.08099667924637
618;470.0339885795785
619;469.9869851807205
620;469.93998648220247
621;469.8929924835543
622;469.8460031843059
623;469.7990185839875
624;469.7520386821291
625;469.7050634782609
626;469.6580929719131
627;469.6111271626159
628;469.56416604989965
629;469.51720963329467
630;469.47025791233136
631;469.42331088654015
632;469.3763685554515
633;469.32943091859596
634;469.2824979755041
635;469.23556972570657
636;469.188646168734
637;469.1417273041171
638;469.09481313138673
639;469.0479036500736
640;469.0009988597086
641;468.9540987598226
642;468.90720334994666
643;468.86031262961166
644;468.8134265983487
645;468.76654525568887
646;468.7196686011633
647;468.67279663430315
648;468.6259293546397
649;468.57906676170427
650;468.5322088550281
651;468.4853556341426
652;468.4385070985792
653;468.3916632478693
654;468.3448240815445
655;468.2979895991364
656;468.2511598001765
657;468.20433468419645
658;468.157514250728
659;468.11069849930294
660;468.063887429453
661;468.0170810407101
662;467.970279332606
663;467.92348230467275
664;467.8766899564423
665;467.82990228744666
666;467.7831192972179
667;467.7363409852882
668;467.6895673511897
669;467.6427983944546
670;467.5960341146151
671;467.5492745112037
672;467.5025195837526
673;467.4557693317942
674;467.40902375486104
675;467.3622828524856
676;467.31554662420035
677;467.26881506953794
678;467.22208818803097
679;467.1753659792122
680;467.1286484426143
681;467.08193557777
682;467.03522738421225
683;466.9885238614738
684;466.94182500908767
685;466.89513082658675
686;466.8484413135041
687;466.8017564693728
688;466.75507629372584
689;466.7084007860965
690;466.6617299460179
691;466.6150637730233
692;466.568402266646
693;466.52174542641933
694;466.4750932518767
695;466.4284457425515
696;466.38180289797725
697;466.33516471768746
698;466.2885312012157
699;466.24190234809555
700;466.19527815786074
701;466.14865863004496
702;466.102043764182
703;466.0554335598056
704;466.0088280164496
705;465.962227133648
706;465.9156309109347
707;465.86903934784357
708;465.8224524439088
709;465.7758701986644
710;465.72929261164455
711;465.6827196823834
712;465.63615141041515
713;465.5895877952741
714;465.54302883649456
715;465.4964745336109
716;465.4499248861576
717;465.40337989366895
718;465.3568395556796
719;465.31030387172405
720;465.2637728413369
721;465.2172464640528
722;465.17072473940635
723;465.1242076669324
724;465.0776952461657
725;465.0311874766411
726;464.98468435789346
727;464.93818588945766
728;464.8916920708687
729;464.84520290166165
730;464.7987183813715
731;464.75223850953336
732;464.7057632856824
733;464.65929270935385
734;464.6128267800829
735;464.5663654974049
736;464.51990886085514
737;464.4734568699691
738;464.4270095242821
739;464.3805668233297
740;464.3341287666473
741;464.2876953537707
742;464.2412665842353
743;464.1948424575769
744;500.0
