;plant_to_j1_m_dot;plant_to_j1_velocity;plant_to_j1_delta_p;j1_to_north_m_dot;j1_to_north_velocity;j1_to_north_delta_p;j1_to_south_m_dot;j1_to_south_velocity;j1_to_south_delta_p;plant_to_industrial_m_dot;plant_to_industrial_velocity;plant_to_industrial_delta_p
104;307.8619207318154;1.7744770112895856;2.2652898016462792;131.94082317077803;1.552020709582728;3.902054367715532;175.9210975610374;2.0693609461103044;4.83623783449473;131.94082317077803;1.552020709582728;1.886955270009396
105;327.6107380941561;1.8883066863800542;2.4106042804851753;140.40460204035261;1.651580192169144;6.275000730125926;187.2061360538035;2.202106922892192;5.453567149012324;140.40460204035261;1.651580192169144;2.008000233640297
106;362.88722717718275;2.0916358891864273;2.6701734755571414;155.52309736164975;1.8294191450610153;5.167220921746679;207.364129815533;2.4392255267480203;2.001796024990777;155.52309736164975;1.8294191450610153;2.2242178055453072
107;336.1281458169973;1.937399942746528;2.4732765226551425;144.05491963585598;1.694518900361395;4.44346086763448;192.07322618114134;2.2593585338151936;5.719813242362452;144.05491963585598;1.694518900361395;2.0602053499834594
108;339.37028935925014;1.9560872463576828;2.497132654924701;145.44440972539292;1.7108634807793146;4.5055603373074256;193.92587963385722;2.281151307705753;5.821159576868698;145.44440972539292;1.7108634807793146;2.0800771802788023
109;331.40951401286145;1.9102023483143382;2.4385561893374526;142.03264886265492;1.6707309168930076;4.3530809912348305;189.37686515020656;2.22764122252401;5.5723132840782235;142.03264886265492;1.6707309168930076;2.0312837895355718
110;292.6050443165215;1.6865383133217746;1.4828148680703506;125.4021618499378;1.4751063964913482;5.604507585453451;167.20288246658373;1.9668085286551311;3.5289918016318715;125.4021618499378;1.4751063964913482;1.7934424273451044
111;319.9846060410519;1.8443506297780414;2.3544901656740955;137.1362597318794;1.6131346616134477;1.838679325547242;182.8483463091725;2.150846215484597;3.6800257695466296;137.1362597318794;1.6131346616134477;1.9612579472503924
112;311.56620035735114;1.7958280085914817;2.292546393946572;133.5283715817219;1.570695051246194;5.967686364917149;178.0378287756292;2.0942600683282584;4.952030104991598;133.5283715817219;1.570695051246194;1.9096596367734882
113;337.38868017148036;1.9446655026723998;2.482551705539234;144.59514864492013;1.7008736174977257;6.462285780766435;192.7935315265602;2.267831489996968;5.759216351657631;144.59514864492013;1.7008736174977257;2.0679314498452595
114;283.91264742310864;1.6364364416005146;1.4188550318304438;121.67684889561798;1.4312855174348524;5.43801488387102;162.23579852749066;1.9083806899131368;3.4810419035761297;121.67684889561798;1.4312855174348524;1.7401647628387265
115;278.2532507442887;1.6038163979118936;1.377212422866247;119.25139317612374;1.4027548669783327;3.3349349049328745;159.001857568165;1.8703398226377772;3.4498229547483295;119.25139317612374;1.4027548669783327;1.7054770419189458
116;262.3660801516335;1.5122447643558856;1.2603124651351731;112.44260577927152;1.3226630592033988;5.025315574480998;149.92347437236202;1.7635507456045316;3.362184502471803;112.44260577927152;1.3226630592033988;1.6081009838339195
117;248.8213325654619;1.4341745595112958;1.830861139801654;106.63771395662651;1.254380081205215;4.765881767497017;142.1836186088354;1.672506774940287;4.5752464967971385;106.63771395662651;1.254380081205215;2.5926396815183774
118;276.43123285373895;1.5933145181949948;1.363805767908504;118.47052836588811;1.3935695494416867;1.5884151399411321;157.96070448785082;1.8580927325889154;1.5248785343434883;118.47052836588811;1.3935695494416867;1.6943094826038745
119;271.76221969286644;1.5664029193207902;1.3294505353031365;116.46952272551417;1.3700317078607493;1.5615862931543483;155.29269696735224;1.826708943814333;3.4140164584494537;116.46952272551417;1.3700317078607493;1.6656920460313065
120;272.2292396923441;1.5690947632841998;1.3328869318521699;116.66967415386175;1.3723860903360348;5.214232866018369;155.55956553848233;1.8298481204480466;3.416592682434567;116.66967415386175;1.3723860903360348;1.6685545171258784
121;251.91844893938438;1.4520259449432782;1.8536501424807803;107.96504954545046;1.269993537851264;2.830522560225167;143.95339939393392;1.6933247171350183;4.632195274837437;107.96504954545046;1.269993537851264;1.544065091612479
122;279.5364824526529;1.6112127825028728;1.3866546159611142;119.80134962256551;1.4092240080200054;1.6062583678039575;159.73513283008737;1.878965344026674;3.4569016501130747;119.80134962256551;1.4092240080200054;1.7133422589908882
123;246.03617937419637;1.4181212902434615;1.8103676045661208;105.44407687465558;1.2403393209126485;2.7178545627380273;140.5921024995408;1.6537857612168652;4.524033997249783;105.44407687465558;1.2403393209126485;1.5080113324165942
124;269.7904574032522;1.555037931905877;1.3149420407309067;115.62448174425093;1.3600914856319621;3.1728399910028955;154.16597565900128;1.81345531417595;3.4031396195364954;115.62448174425093;1.3600914856319621;1.6536066694613523
125;302.9920917008751;1.7464079352448028;1.5592441726529396;129.8537535860893;1.5274704972986612;1.7410378008723335;173.13833811478577;2.0366273297315485;4.6840115941923095;129.8537535860893;1.5274704972986612;1.8571069875971566
126;272.4720068065358;1.5704940420979168;1.3346732452313832;116.77371720280102;1.3736099493567784;5.218882786309948;155.69828960373474;1.831479932475705;3.4179318594785437;116.77371720280102;1.3736099493567784;1.6700424916191836
127;290.2184836340056;1.6727824806513836;1.4652542306187875;124.37935012885954;1.4630750559633092;5.558795805331722;165.83913350514607;1.9507667412844125;3.5158268089568123;124.37935012885954;1.4630750559633092;1.7788146577061512
128;312.2254169985988;1.7996276495882404;2.297396999474349;133.8108929993995;1.5740183524095401;5.980312889093997;178.41452399919933;2.0986911365460537;4.9726365924482145;133.8108929993995;1.5740183524095401;1.9137001245100793
