comparison,config,gap_cost_pct,gap_cost_eur,gap_cost_eur_per_mwh,gap_co2_t
L3->L3plus,synth_n05_L15p0km_hi0p8_s2h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n05_L15p0km_hi0p8_s6h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n05_L1p0km_hi0p4_s12h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n05_L1p0km_hi0p4_s2h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n05_L1p0km_hi0p4_s6h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n05_L5p0km_hi0p1_s12h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n05_L5p0km_hi0p1_s2h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n05_L5p0km_hi0p1_s6h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n05_L5p0km_hi0p4_s12h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n05_L5p0km_hi0p8_s2h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n15_L15p0km_hi0p1_s2h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n15_L15p0km_hi0p1_s6h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n15_L15p0km_hi0p4_s2h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n15_L15p0km_hi0p8_s12h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n15_L1p0km_hi0p1_s6h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n15_L1p0km_hi0p8_s2h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n15_L1p0km_hi0p8_s6h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n15_L5p0km_hi0p1_s12h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n15_L5p0km_hi0p1_s6h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n15_L5p0km_hi0p4_s2h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n15_L5p0km_hi0p8_s2h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n30_L15p0km_hi0p1_s12h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n30_L15p0km_hi0p1_s2h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n30_L15p0km_hi0p1_s6h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n30_L15p0km_hi0p4_s12h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n30_L15p0km_hi0p4_s2h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n30_L15p0km_hi0p8_s6h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n30_L5p0km_hi0p1_s2h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n30_L5p0km_hi0p1_s6h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n30_L5p0km_hi0p4_s2h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n30_L5p0km_hi0p8_s2h,0.0,0.0,0.0,0.0
L3->L3plus,synth_n30_L5p0km_hi0p8_s6h,0.0,0.0,0.0,0.0
