Run dir,Kind,Status,MIP gap
SB-S6-HK1__hp_j_psw__tes_j_hkw,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK1__hp_j_psw__tes_j_man,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK1__hp_j_psw__tes_j_ost,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK1__hp_j_psw__tes_j_pss,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK1__hp_j_psw__tes_j_psw,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK2__hp_j_hkw__tes_j_hkw,F3 enumeration sub-pair,optimal,—
SB-S6-HK2__hp_j_hkw__tes_j_man,F3 enumeration sub-pair,optimal,—
SB-S6-HK2__hp_j_hkw__tes_j_ost,F3 enumeration sub-pair,optimal,—
SB-S6-HK2__hp_j_hkw__tes_j_pss,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK2__hp_j_hkw__tes_j_psw,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK2__hp_j_man__tes_j_hkw,F3 enumeration sub-pair,optimal,—
SB-S6-HK2__hp_j_man__tes_j_man,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK2__hp_j_man__tes_j_ost,F3 enumeration sub-pair,optimal,—
SB-S6-HK2__hp_j_man__tes_j_pss,F3 enumeration sub-pair,optimal,—
SB-S6-HK2__hp_j_man__tes_j_psw,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK2__hp_j_ost__tes_j_hkw,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK2__hp_j_ost__tes_j_man,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK2__hp_j_ost__tes_j_ost,F3 enumeration sub-pair,optimal,—
SB-S6-HK2__hp_j_ost__tes_j_pss,F3 enumeration sub-pair,optimal,—
SB-S6-HK2__hp_j_ost__tes_j_psw,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK2__hp_j_pss__tes_j_hkw,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK2__hp_j_pss__tes_j_man,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK2__hp_j_pss__tes_j_ost,F3 enumeration sub-pair,optimal,—
SB-S6-HK2__hp_j_pss__tes_j_pss,F3 enumeration sub-pair,optimal,—
SB-S6-HK2__hp_j_pss__tes_j_psw,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK2__hp_j_psw__tes_j_hkw,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK2__hp_j_psw__tes_j_man,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK2__hp_j_psw__tes_j_ost,F3 enumeration sub-pair,maxTimeLimit,—
SB-S6-HK2__hp_j_psw__tes_j_pss,F3 enumeration sub-pair,optimal,—
SB-S6-HK2__hp_j_psw__tes_j_psw,F3 enumeration sub-pair,optimal,—
ZZDIAG-MMS1HK0-PFIX,TEST/DIAG,optimal,—
ZZDIAG-SBS1HK0-PFIX,TEST/DIAG,optimal,—
_DIAG-SB-S1-HK0-168h,TEST/DIAG,optimal,0.14 %
_DIAG-SB-S2-HK0-168h,TEST/DIAG,optimal,1.00 %
_DIAG-SB-S2-HK0-744h,TEST/DIAG,optimal,0.33 %
_archive_pre_fix,other diagnostic/superseded,?,—
_endog_enum,other diagnostic/superseded,?,—
figures,other diagnostic/superseded,?,—
logs,other diagnostic/superseded,?,—
sensitivity,other diagnostic/superseded,?,—
solver,other diagnostic/superseded,?,—
tables,other diagnostic/superseded,?,—
thermal_network,other diagnostic/superseded,?,—
MM-S4-HK0,SB-S6/MM-S4 superseded monolithic (G.8),maxTimeLimit,47349.64 %
SB-S6-HK0,SB-S6/MM-S4 superseded monolithic (G.8),maxTimeLimit,96.93 %
